Customer Input , Category , Ticket Type , Possible Resolutions1,Customer Input,Category,Ticket Type,Possible Resolution
The internet Speed is much slower than Usual , Network Issue , Support , Check internet connection,,,,
I need assistance setting up a virtual private network (VPN) , Network Issue , Support , Provide VPN setup guide ,,,,
The cursor on my laptop is not moving , OS Issue , Incident , Check mouse settings,,,,
I'm having issue connecting to the Internet , Network Issue , Incident , Check internet settings,,,,
I accidentally deleted important files, can you help me recover them? , Data Recovery , Support ,,,,
The printer is not responding when I try to print documents , Printer Issue , Incident , Check printer connection,,,,
I forgot my password and can't log into my account , Account Lockout , Support , Reset password ,,,,
The software I'm using keeps crashing unexpectedly , Software Problem , Incident , Update or reinstall software ,,,,
I want to upgrade my subscription to premium , Software Support , Support , Guide to upgrade subscription ,,,,
My email is not syncing on my phone , Email Issue , Incident , Check email settings,,,,
I'm getting a blue screen error on Windows startup , OS Issue , Incident , Check for hardware or software issues ,,,,
Can you recommend the best laptop for graphic design? , Product Recommendation , Support , Recommend suitable laptops ,,,,
The internet speed is much slower than usual , Network Issue , Incident , Check internet connection,,,,
How do I change the language settings in the software? , Software Support , Support , Guide to change language settings ,,,,
I accidentally spilled water on my keyboard and it's not working now , Hardware Issue , Incident , Recommend keyboard replacement ,,,,
I want to cancel my subscription and get a refund , Software Support , Support , Guide to cancel subscription and process refund ,,,,
The battery of my laptop is draining very quickly , Battery Issue , Incident , Check power settings,,,,
How do I transfer files between two computers on the same network? , FTP Issue , Support , Guide to use FTP for file transfer ,,,,
I'm locked out of my account after too many failed login attempts , Account Lockout , Incident , Reset account lockout ,,,,
I need help installing a software update on my VM , Software Support , Support , Guide to install software update ,,,,
The fan in my computer is making a lot of noise , Hardware Issue , Incident , Check for dust or blockage,,,,
How do I connect my laptop to an external monitor? , Hardware Support , Support , Guide to connect external monitor ,,,,
I accidentally uninstalled an important program, how can I get it back? , Software Support , Support ,,,,
The screen of my laptop is flickering intermittently , Hardware Issue , Incident , Check display settings,,,,
I want to change the email address associated with my account , Email Support , Support , Guide to change email address ,,,,
I'm experiencing slow boot times on my computer , OS Issue , Incident , Check startup programs,,,,
How can I set up auto-reply for my email when I'm on vacation? , Email Support , Support , Guide to set up auto-reply ,,,,
The keys on my keyboard are sticking and not typing properly , Hardware Issue , Incident , Recommend keyboard cleaning or replacement ,,,,
I'm having trouble connecting to a Bluetooth device , OS Issue , Support , Check Bluetooth settings,,,,
My computer is getting very hot and shutting down unexpectedly , Hardware Issue , Incident , Check for dust or blockage,,,,
How do I restore my computer to a previous backup? , Data Recovery , Support , Guide to restore from backup ,,,,
The audio on my computer is not working, no sound is coming out , Audio Issue , Incident ,,,,
I accidentally made changes to a document and want to revert them , Software Support , Support , Guide to revert changes in document ,,,,
I'm getting pop-up ads on my screen, how do I remove them? , Adware Removal , Support ,,,,
The webcam on my laptop is not being recognized , Software Issue , Incident , Check webcam settings,,,,
I need to recover an unsaved document after a crash , Data Recovery , Support , Guide to recover unsaved document ,,,,
The colors on my monitor seem distorted , Hardware Issue , Incident , Check display settings,,,,
How can I set up email forwarding to another address? , Email Support , Support , Guide to set up email forwarding ,,,,
My computer is getting slower over time, can you help optimize it? , Performance Optimization , Support ,,,,
I'm unable to access certain websites, they appear blocked , Website Access , Incident ,,,,
How do I change the screen resolution on my monitor? , OS Support , Support , Guide to change screen resolution ,,,,
I accidentally deleted the important emails, how can I recover them? , Email Support , Support ,,,,
The software is asking for a license key but I don't have one , Software Support , Support , Guide to enter license key ,,,,
Can you recommend a good antivirus software? , Product Recommendation , Support , Recommend suitable antivirus software ,,,,
My computer is not recognizing the external hard drive I connected , Hardware Issue , Incident , Check USB port,,,,
How do I change the default browser on my computer? , Software Support , Support , Guide to change default browser ,,,,
I accidentally cleared my browser history, can I undo this? , Software Support , Support ,,,,
The touch screen on my system is not responding to touch , Touch Screen Issue , Incident , Check touch screen settings,,,,
How can I set up two-factor authentication for my accounts? , Account Support , Support , Guide to set up two-factor authentication ,,,,
My computer is getting a lot of spam emails, what should I do? , Email Issue , Incident ,,,,
I accidentally removed an important system file, now my computer won't start , OS Issue , Incident ,,,,
How do I change the language on my desktop? , OS Support , Support , Guide to change language settings ,,,,
The battery percentage on my laptop is not accurate , Battery Issue , Incident , Check power settings,,,,
I received a suspicious email asking for personal information , Email Issue , Incident , Guide to report phishing attempt ,,,,
How can I recover deleted photos from my workstation , Data Recovery , Support , Guide to use data recovery software ,,,,
The software I'm using is giving 'Out of Memory' errors , Memory Error , Incident , Check system resources,,,,
I'm having trouble connecting to a secure Wi-Fi network , Network Issue , Support , Check Wi-Fi settings,,,,
How do I clear cookies and cache in my web browser? , Browser Support , Support , Guide to clear cookies and cache ,,,,
My computer is showing a 'No Bootable Device' error on startup , Hardware Issue , Incident , Check boot order,,,,
I accidentally formatted my USB drive, can I recover the data? , Data Recovery , Support ,,,,
The software interface is too small on my high-resolution monitor , Software Support , Incident , Guide to adjust software interface size ,,,,
How do I set up a secure password for my online accounts? , Password Security , Incident , Guide to create secure password ,,,,
I'm having issues with the sound quality during video calls , Audio Issue , Incident , Check audio settings,,,,
Can you recommend a good JavaScript editing software? , Product Recommendation , Support , Recommend suitable JavaScript editing software ,,,,
The cursor is moving erratically on my laptop screen , OS Issue , Incident , Check mouse settings,,,,
How do I set up email filters to organize my inbox? , Email Support , Support , Guide to set up email filters ,,,,
My computer is freezing randomly and I have to restart , OS Issue , Incident , Check system resources,,,,
I accidentally uninstalled my graphics driver, what should I do? , Software Support , Support ,,,,
How can I recover deleted emails from my Outlook? , Email Support , Support , Guide to recover deleted emails ,,,,
The software I'm using is not compatible with my operating system , Software Issue , Incident , Recommend compatible software version ,,,,
I'm having trouble accessing shared files on the network , FTP Issue , Support , Check network settings,,,,
How do I set up recurring reminders on my calendar app? , Software Support , Support , Guide to set up reminders ,,,,
My computer is heating up and shutting down while using GPU , Hardware Issue , Support , Check for dust or blockage,,,,
I accidentally deleted a partition on my hard drive, can I restore it? , Data Recovery , Support ,,,,
The font settings in my software have changed unexpectedly , Software Support , Support , Guide to reset font settings ,,,,
How do I set up a new email account in Outlook? , Email Support , Support , Guide to set up new email account ,,,,
I'm encountering 'Insufficient Storage' errors , Memory Error , Incident , Check system resources,,,,
I accidentally closed a document without saving, can I recover it? , Data Recovery , Support ,,,,
The icons on my desktop are rearranging themselves after restart , OS Issue , Incident , Check desktop settings,,,,
How can I set up a virtual machine on my computer? , Virtual Machine Support , Support , Guide to set up virtual machine ,,,,
My computer is making a loud beeping sound during startup , Hardware Issue , Incident , Check for hardware issues,,,,
I accidentally deleted important bookmarks in my web browser , Browser Support , Support , Guide to recover bookmarks ,,,,
My email is not syncing on my phone , Email Support , Support , Check email settings,,,,
The Software I'm using keeps crashing unexpectedly. , Software Issue , Incident , Update or reinstall software ,,,,
I want to upgrade my Teams subscription to premium , Software Support , Support , Guide to upgrade subscription ,,,,
I want to install Office365 in my Workstation , Software Support , Support , Guide to install Office365 ,,,,
Unable to Connect on Client dedicated VLAN , Network Issue , Incident , Check network settings,,,,
Sound Drivers are not detected in my system , Audio Issue , Incident , Check audio settings,,,,
Need support to install Wandb AI in my workstation , Software Support , Support , Guide to install Wandb AI ,,,,
Microphone on the workstation on not woking hence unable to join Virtual calls and meetings , Hardware Issue , Incident , Check microphone settings,,,,
I can't connect to web portal on virtual machines , Virtual Machine Support , Support , Check network settings,,,,
I can't connect to firewall on my laptop , Network Issue , Incident , Check firewall settings,,,,
I can't connect to remote desktop on my laptop , Virtual Machine Support , Incident , Check remote desktop settings,,,,
I can't connect to video conferencing during meetings , Software Issue , Incident , Check video conferencing settings,,,,
I can't connect to user account on the admin account , Account Support , Incident , Reset account lockout ,,,,
I experiencing issues with password on the company network , Account Support , Incident , Reset password ,,,,
I unable to install VPN on the server , Network Issue , Incident , Guide to install VPN ,,,,
I experiencing outages in WiFi in the office , Network Issue , Support , Check Wi-Fi settings,,,,
I experiencing disruptions in antivirus on my system , Software Support , Support , Update or reinstall antivirus software ,,,,
I'm unable to use website , Website Access , Incident , Check internet settings,,,,
Can't access website , Website Access , Incident , Check internet settings,,,,
Can't access tableau.com , Website Access , Incident , Check internet settings,,,,
The touch screen not responding , Touch Screen Issue , Incident , Check touch screen settings,,,,
Not able to use touch screen , Touch Screen Issue , Incident , Check touch screen settings,,,,
The power bi software application keeps crashing again and repeatedly. , Software Problem , Incident , Update or reinstall software ,,,,
Tableau crashes unexpectedly , Software Problem , Incident , Update or reinstall software ,,,,
My hp printer not responding to print command , Printer Issue , Incident , Check printer connection,,,,
My printer is not printing , Printer Issue , Incident , Check printer connection,,,,
My computer is very slow. , Performance Optimization , Support , Recommend system optimization ,,,,
Everything is very slow on my computer. , Performance Optimization , Support , Recommend system optimization ,,,,
Apps and everything takes too much time to load. , Performance Optimization , Support , Recommend system optimization ,,,,
Password expired repeatedly. , Password Security , Incident , Reset password ,,,,
How do I connect my laptop to an external webcamera? , Hardware Support , Support , Guide to connect external webcam ,,,,
How do I connect my laptop to an external mouse? , Hardware Support , Support , Guide to connect external mouse ,,,,
How do I connect my laptop to an external keyboard? , Hardware Support , Support , Guide to connect external keyboard ,,,,
I'm getting ads on my screen, I need these removed. ,Adware Removal , Support for Adware Removal,,,,
,,,,I can't connect to the VPN from home; it worked fine in the office.,Hardware Issue,Data Recovery,Check internet connection
,,,,I can't connect to the VPN from home; it worked fine in the office.,Network Issue,Support,Reinstall drivers
,,,,The printer is not responding when I try to print documents from my computer; I keep getting an error message.,Software Issue,Data Recovery,Reinstall drivers
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,Software Issue,Incident,Support
,,,,The system is overheating and shutting down unexpectedly; this is affecting my ability to work.,OS Issue,Support,Check printer connections
,,,,The system is overheating and shutting down unexpectedly; this is affecting my ability to work.,Network Issue,Data Recovery,Check mouse settings
,,,,I can't access my email on both my laptop and mobile device; it says the server is not responding.,OS Issue,Support,Check mouse settings
,,,,"My computer is running very slowly, especially when I try to open multiple applications.",OS Issue,Support,Perform a disk cleanup
,,,,I need to reset my device to factory settings but I'm not sure how to do it safely.,OS Issue,Data Recovery,Check mouse settings
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,Software Issue,Support,Check email server settings
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,OS Issue,Support,Check email server settings
,,,,"The application keeps crashing whenever I try to save my work, causing me to lose important data.",Network Issue,Data Recovery,Check mouse settings
,,,,"My computer is running very slowly, especially when I try to open multiple applications.",Data Recovery,Incident,Check mouse settings
,,,,My files got corrupted after a sudden power outage; I need help recovering them.,Hardware Issue,Data Recovery,Check internet connection
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,Network Issue,Incident,Check for background processes
,,,,"The screen on my laptop is flickering intermittently, making it difficult to work.",Data Recovery,Data Recovery,Check internet settings
,,,,The printer is not responding when I try to print documents from my computer; I keep getting an error message.,Performance Issue,Incident,Check internet connection
,,,,"The screen on my laptop is flickering intermittently, making it difficult to work.",Network Issue,Incident,Check internet connection
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,Network Issue,Incident,Check internet settings
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,Network Issue,Data Recovery,Check mouse settings
,,,,The system is overheating and shutting down unexpectedly; this is affecting my ability to work.,Performance Issue,Incident,Reinstall drivers
,,,,"My computer is running very slowly, especially when I try to open multiple applications.",OS Issue,Support,Check for system updates
,,,,"My computer is running very slowly, especially when I try to open multiple applications.",Software Issue,Data Recovery,Check internet settings
,,,,"My computer is running very slowly, especially when I try to open multiple applications.",Performance Issue,Support,Perform a disk cleanup
,,,,"My computer is running very slowly, especially when I try to open multiple applications.",Software Issue,Incident,Check for system updates
,,,,The system is overheating and shutting down unexpectedly; this is affecting my ability to work.,Performance Issue,Data Recovery,Reinstall drivers
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,Network Issue,Support,Check mouse settings
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,Hardware Issue,Data Recovery,Check internet settings
,,,,I can't connect to the VPN from home; it worked fine in the office.,Performance Issue,Data Recovery,Perform a disk cleanup
,,,,"My computer is running very slowly, especially when I try to open multiple applications.",Network Issue,Support,Update software
,,,,I can't access my email on both my laptop and mobile device; it says the server is not responding.,Network Issue,Incident,Check for background processes
,,,,"My computer is running very slowly, especially when I try to open multiple applications.",Network Issue,Incident,Check email server settings
,,,,The system is overheating and shutting down unexpectedly; this is affecting my ability to work.,Network Issue,Support,Check mouse settings
,,,,The printer is not responding when I try to print documents from my computer; I keep getting an error message.,Network Issue,Support,Perform a disk cleanup
,,,,My files got corrupted after a sudden power outage; I need help recovering them.,Performance Issue,Data Recovery,Update software
,,,,I can't access my email on both my laptop and mobile device; it says the server is not responding.,Hardware Issue,Support,Check for system updates
,,,,The system is overheating and shutting down unexpectedly; this is affecting my ability to work.,Hardware Issue,Data Recovery,Check for system updates
,,,,The system is overheating and shutting down unexpectedly; this is affecting my ability to work.,Performance Issue,Support,Support
,,,,The system is overheating and shutting down unexpectedly; this is affecting my ability to work.,Performance Issue,Incident,Support
,,,,I need to reset my device to factory settings but I'm not sure how to do it safely.,Performance Issue,Support,Check internet connection
,,,,I need to reset my device to factory settings but I'm not sure how to do it safely.,Network Issue,Incident,Provide VPN setup guide
,,,,"The application keeps crashing whenever I try to save my work, causing me to lose important data.",Network Issue,Data Recovery,Provide VPN setup guide
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,OS Issue,Support,Support
,,,,"The screen on my laptop is flickering intermittently, making it difficult to work.",Network Issue,Support,Check for background processes
,,,,I can't connect to the VPN from home; it worked fine in the office.,Performance Issue,Incident,Check for background processes
,,,,I can't access my email on both my laptop and mobile device; it says the server is not responding.,OS Issue,Incident,Check internet connection
,,,,I need to reset my device to factory settings but I'm not sure how to do it safely.,Software Issue,Support,Support
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,Hardware Issue,Incident,Check printer connections
,,,,"The application keeps crashing whenever I try to save my work, causing me to lose important data.",OS Issue,Data Recovery,Check printer connections
,,,,"The application keeps crashing whenever I try to save my work, causing me to lose important data.",Software Issue,Incident,Check for background processes
,,,,"My computer is running very slowly, especially when I try to open multiple applications.",OS Issue,Data Recovery,Check printer connections
,,,,I can't connect to the VPN from home; it worked fine in the office.,Performance Issue,Support,Check for background processes
,,,,"The application keeps crashing whenever I try to save my work, causing me to lose important data.",Performance Issue,Support,Check for system updates
,,,,I can't access my email on both my laptop and mobile device; it says the server is not responding.,OS Issue,Data Recovery,Reinstall drivers
,,,,The printer is not responding when I try to print documents from my computer; I keep getting an error message.,Performance Issue,Data Recovery,Check mouse settings
,,,,I need to reset my device to factory settings but I'm not sure how to do it safely.,Software Issue,Data Recovery,Support
,,,,My files got corrupted after a sudden power outage; I need help recovering them.,Software Issue,Support,Check printer connections
,,,,"The application keeps crashing whenever I try to save my work, causing me to lose important data.",Data Recovery,Support,Support
,,,,"The application keeps crashing whenever I try to save my work, causing me to lose important data.",Hardware Issue,Incident,Check email server settings
,,,,My files got corrupted after a sudden power outage; I need help recovering them.,Network Issue,Data Recovery,Check internet connection
,,,,The system is overheating and shutting down unexpectedly; this is affecting my ability to work.,Performance Issue,Incident,Provide VPN setup guide
,,,,My files got corrupted after a sudden power outage; I need help recovering them.,OS Issue,Support,Provide VPN setup guide
,,,,I need to reset my device to factory settings but I'm not sure how to do it safely.,Performance Issue,Incident,Check email server settings
,,,,I need to reset my device to factory settings but I'm not sure how to do it safely.,OS Issue,Incident,Reinstall drivers
,,,,The system is overheating and shutting down unexpectedly; this is affecting my ability to work.,OS Issue,Incident,Check email server settings
,,,,My files got corrupted after a sudden power outage; I need help recovering them.,Network Issue,Data Recovery,Check internet connection
,,,,"The screen on my laptop is flickering intermittently, making it difficult to work.",OS Issue,Incident,Check for system updates
,,,,The printer is not responding when I try to print documents from my computer; I keep getting an error message.,Hardware Issue,Data Recovery,Check internet connection
,,,,I can't access my email on both my laptop and mobile device; it says the server is not responding.,Network Issue,Incident,Check mouse settings
,,,,"The screen on my laptop is flickering intermittently, making it difficult to work.",Network Issue,Support,Check internet settings
,,,,I can't connect to the VPN from home; it worked fine in the office.,Hardware Issue,Data Recovery,Support
,,,,"The screen on my laptop is flickering intermittently, making it difficult to work.",Data Recovery,Support,Update software
,,,,"My computer is running very slowly, especially when I try to open multiple applications.",Performance Issue,Data Recovery,Check for system updates
,,,,"My computer is running very slowly, especially when I try to open multiple applications.",Data Recovery,Incident,Support
,,,,"The application keeps crashing whenever I try to save my work, causing me to lose important data.",Data Recovery,Data Recovery,Check for background processes
,,,,"The application keeps crashing whenever I try to save my work, causing me to lose important data.",OS Issue,Support,Check mouse settings
,,,,"The application keeps crashing whenever I try to save my work, causing me to lose important data.",OS Issue,Support,Check email server settings
,,,,My files got corrupted after a sudden power outage; I need help recovering them.,Performance Issue,Incident,Perform a disk cleanup
,,,,The printer is not responding when I try to print documents from my computer; I keep getting an error message.,Hardware Issue,Data Recovery,Check internet settings
,,,,The printer is not responding when I try to print documents from my computer; I keep getting an error message.,Network Issue,Data Recovery,Check internet settings
,,,,I can't access my email on both my laptop and mobile device; it says the server is not responding.,OS Issue,Incident,Check printer connections
,,,,"My computer is running very slowly, especially when I try to open multiple applications.",OS Issue,Support,Check mouse settings
,,,,I can't connect to the VPN from home; it worked fine in the office.,Hardware Issue,Data Recovery,Check for background processes
,,,,The system is overheating and shutting down unexpectedly; this is affecting my ability to work.,Software Issue,Data Recovery,Support
,,,,I can't access my email on both my laptop and mobile device; it says the server is not responding.,Software Issue,Incident,Support
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,Network Issue,Data Recovery,Check email server settings
,,,,The printer is not responding when I try to print documents from my computer; I keep getting an error message.,OS Issue,Incident,Support
,,,,I can't connect to the VPN from home; it worked fine in the office.,Hardware Issue,Support,Check for system updates
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,Data Recovery,Support,Check mouse settings
,,,,I can't access my email on both my laptop and mobile device; it says the server is not responding.,Performance Issue,Support,Reinstall drivers
,,,,I need to reset my device to factory settings but I'm not sure how to do it safely.,OS Issue,Incident,Reinstall drivers
,,,,The system is overheating and shutting down unexpectedly; this is affecting my ability to work.,Data Recovery,Incident,Check for system updates
,,,,I need to reset my device to factory settings but I'm not sure how to do it safely.,OS Issue,Data Recovery,Check for system updates
,,,,The system is overheating and shutting down unexpectedly; this is affecting my ability to work.,OS Issue,Incident,Check for system updates
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,Hardware Issue,Support,Reinstall drivers
,,,,I forgot my password and I'm unable to reset it using the usual methods; I need assistance to regain access.,Software Issue,Incident,Check internet connection
,,,,My files got corrupted after a sudden power outage; I need help recovering them.,Hardware Issue,Support,Provide VPN setup guide
,,,,My files got corrupted after a sudden power outage; I need help recovering them.,Hardware Issue,Incident,Check for background processes
,,,,I need to reset my device to factory settings but I'm not sure how to do it safely.,Performance Issue,Incident,Update software
,,,,I can't access my email on both my laptop and mobile device; it says the server is not responding.,Data Recovery,Data Recovery,Check for background processes
